StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID4,Q1,Q2_NPS_GROUP,Q2,Q3,QID68_First Click,QID68_Last Click,QID68_Page Submit,QID68_Click Count,QID69_First Click,QID69_Last Click,QID69_Page Submit,QID69_Click Count,Q4_NPS_GROUP,Q4,Q5,Q6,Q7_NPS_GROUP,Q7,Q8,Q9,Q10,Q84,Q11,Q86,Q13_1,Q14,Q15,Group1,Group2
2026-03-04 16:39:50,2026-03-04 16:48:57,Survey Preview,100,546,True,2026-03-04 16:48:57,R_2nJynb3zzResaco,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",None,Passive,7,Our body builds up a tolerance to the antibiotic over time,2.235,17.805,18.767,3,7.163,138.35,143.038,32,Passive,7,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria,Antibiotics teach bacteria how to defend themselves",Passive,8,122,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure",,3,A moderate amount,No,3,32
2026-03-05 07:13:34,2026-03-05 07:15:47,Survey Preview,100,132,True,2026-03-05 07:15:47,R_2pYlgaMZcypkRkC,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer",Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",2.267,2.267,8.755,1,,,,,Detractor,6,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",Surviving bacteria multiply after the weaker ones are killed (natural selection),Detractor,6,122,Some Razzies are not Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",,3,A moderate amount,Yes,1,
2026-03-05 07:16:10,2026-03-05 07:18:03,Survey Preview,100,113,True,2026-03-05 07:18:04,R_2klVPta9JO1rlPH,preview,ES,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer",Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",1.413,1.413,7.681,1,,,,,Passive,7,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",Surviving bacteria multiply after the weaker ones are killed (natural selection),Passive,7,122,Some Razzies are not Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,False,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",,3,A moderate amount,Yes,1,
2026-03-05 08:10:25,2026-03-05 08:14:07,Survey Preview,100,222,True,2026-03-05 08:14:08,R_8zT80tDcybSALbj,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Computer Science/ Engineer,Detractor,2,Our body builds up a tolerance to the antibiotic over time,,,,,7.553,11.528,12.837,3,Detractor,5,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria absorb the antibiotic and use it as a nutrient",Detractor,6,123,All Lazzies are Bloops,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure",,3,A moderate amount,Yes,,3
2026-03-05 13:54:40,2026-03-05 14:01:52,IP Address,100,432,True,2026-03-05 14:01:52,R_8RwvOH0PmrdgUhA,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Statistics / Econometrics,Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",2.723,71.579,79.394,11,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Promoter,9,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure",,2,A moderate amount,Yes,11,
2026-03-05 16:10:10,2026-03-05 16:13:04,IP Address,100,173,True,2026-03-05 16:13:04,R_2k0UQFu37KsfOfX,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Other,Detractor,3,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,0,0,9.034,0,Passive,7,The antibiotic has been used so frequently that its chemical composition weakens over time,Random mutations allow some bacteria to survive the antibiotic,Detractor,6,2,All Bloops are Lazzies,"The insects shared chemical defences with each other, allowing the whole population to neutralise the pesticide",False,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Stop using any pesticide and let the insects die off naturally,Avoid using pesticides when they are not truly needed to reduce selection pressure",,1,A moderate amount,Yes,,0
2026-03-05 16:10:17,2026-03-05 16:13:16,Survey Preview,100,178,True,2026-03-05 16:13:16,R_2zFY7eaPpelViYV,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Computer Science/ Engineer,Detractor,0,The immune system starts fighting against the antibiotic,0,0,3.097,0,,,,,Detractor,5,The patient's body has adapted so the antibiotic no longer has an effect,"Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria,Bacteria absorb the antibiotic and use it as a nutrient",Promoter,10,1,No Bloops are Lazzies,"The insects shared chemical defences with each other, allowing the whole population to neutralise the pesticide",True,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Stop using any pesticide and let the insects die off naturally",The immune system has become dependent on the antibiotic and can no longer fight infections without it,4,A lot,No,0,
2026-03-05 16:14:40,2026-03-05 16:16:15,IP Address,100,94,True,2026-03-05 16:16:15,R_2QI6DL9GKn9PxqF,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Chemistry,Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,0,0,1.901,0,Passive,8,The immune system has become dependent on the antibiotic and can no longer fight infections without it,Random mutations allow some bacteria to survive the antibiotic,Passive,7,uuu,All Lazzies are Bloops,"Some insects happened to have pre-existing traits that helped them survive, and those insects reproduced at higher rates",False,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",The immune system has become dependent on the antibiotic and can no longer fight infections without it,3,A moderate amount,Yes,,0
2026-03-05 16:24:21,2026-03-05 16:29:40,IP Address,100,319,True,2026-03-05 16:29:40,R_4wjiBCydhszIZvb,anonymous,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Computer Science/ Engineer,Detractor,6,The immune system starts fighting against the antibiotic,3.623,62.903,64.611,11,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Passive,8,243,All Lazzies are Bloops,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Double the dose of the same pesticide to kill the remaining insects,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure",The patient's body has adapted so the antibiotic no longer has an effect,3,A moderate amount,No,11,
2026-03-05 16:34:59,2026-03-05 16:40:40,IP Address,100,340,True,2026-03-05 16:40:40,R_9zVKvpyWwekQ7HH,anonymous,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Chemistry,Computer Science/ Engineer",Detractor,1,Our body builds up a tolerance to the antibiotic over time,,,,,14.282,29.997,30.92,4,Promoter,9,The antibiotic has been used so frequently that its chemical composition weakens over time,"Random mutations allow some bacteria to survive the antibiotic,Antibiotics teach bacteria how to defend themselves",Passive,7,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure","The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",3,A little,No,,4
2026-03-05 16:49:10,2026-03-05 16:52:33,Survey Preview,100,203,True,2026-03-05 16:52:33,R_8mWUrAt2uVHtlgW,preview,EN,"You are at least 18 years old, and",Medicine / Nursing / Health sciences,Passive,8,Our body builds up a tolerance to the antibiotic over time,0,0,10.145,0,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",Bacteria can share resistance genes with other bacteria,Detractor,6,gy,No Bloops are Lazzies,"The insects shared chemical defences with each other, allowing the whole population to neutralise the pesticide",False,Apply the same pesticide more frequently to maintain constant pressure on the insects,The immune system has become dependent on the antibiotic and can no longer fight infections without it,3,A moderate amount,No,0,
2026-03-05 18:07:27,2026-03-05 18:08:20,Survey Preview,100,52,True,2026-03-05 18:08:20,R_8RAkCSCgeWuzSE1,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Computer Science/ Engineer,Promoter,10,The immune system starts fighting against the antibiotic,0,0,3.157,0,,,,,Promoter,10,The immune system has become dependent on the antibiotic and can no longer fight infections without it,"Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Promoter,10,1,All Bloops are Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,False,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Apply the same pesticide more frequently to maintain constant pressure on the insects",The antibiotic has been used so frequently that its chemical composition weakens over time,4,A lot,Yes,0,
2026-03-05 18:20:32,2026-03-05 18:22:17,Survey Preview,100,105,True,2026-03-05 18:22:17,R_2qmroKTrbcREYdk,preview,ES,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer",Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,1.184,1.184,4.157,1,Passive,7,The patient's body has adapted so the antibiotic no longer has an effect,"Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection)",Passive,7,122,Some Razzies are not Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Apply the same pesticide more frequently to maintain constant pressure on the insects",The patient's body has adapted so the antibiotic no longer has an effect,4,A moderate amount,Yes,,1
2026-03-05 18:33:16,2026-03-05 18:34:08,Survey Preview,100,51,True,2026-03-05 18:34:08,R_8IpmCmwTA2Bk526,preview,ES,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Other,Promoter,10,The immune system starts fighting against the antibiotic,0,0,2.515,0,,,,,Promoter,10,The antibiotic has been used so frequently that its chemical composition weakens over time,Antibiotics teach bacteria how to defend themselves,Promoter,10,12,Some Razzies are not Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,True,Stop using any pesticide and let the insects die off naturally,The antibiotic has been used so frequently that its chemical composition weakens over time,4,A lot,Yes,0,
2026-03-05 19:28:52,2026-03-05 19:34:30,Survey Preview,100,338,True,2026-03-05 19:34:31,R_86DHoNnqFaOa9eV,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Other,Detractor,1,Our body builds up a tolerance to the antibiotic over time,1.376,8.675,16.156,3,,,,,Detractor,3,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Detractor,0,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,False,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure",The immune system has become dependent on the antibiotic and can no longer fight infections without it,1,A little,No,3,
2026-03-05 19:28:13,2026-03-05 19:35:17,Survey Preview,100,423,True,2026-03-05 19:35:17,R_822O0PErTGTi6IE,preview,ZH-S,"You are at least 18 years old, and",Other,Detractor,0,The immune system starts fighting against the antibiotic,,,,,36.186,38.499,39.349,3,Detractor,1,The antibiotic has been used so frequently that its chemical composition weakens over time,"Bacteria can share resistance genes with other bacteria,Bacteria absorb the antibiotic and use it as a nutrient",Detractor,2,243,All Bloops are Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,False,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Stop using any pesticide and let the insects die off naturally,Apply the same pesticide more frequently to maintain constant pressure on the insects",The immune system has become dependent on the antibiotic and can no longer fight infections without it,4,A little,No,,3
2026-03-05 20:12:39,2026-03-05 20:17:18,Survey Preview,100,278,True,2026-03-05 20:17:18,R_82mLgWlKRPpTzLy,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Other,Detractor,3,Our body builds up a tolerance to the antibiotic over time,,,,,1.906,31.691,34.033,14,Detractor,4,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Detractor,4,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure","The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",3,A moderate amount,No,,14
2026-03-05 22:23:37,2026-03-05 22:28:31,Survey Preview,100,294,True,2026-03-05 22:28:32,R_8dc4pPeGzaljTKB,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer",Detractor,4,"Some bacteria survive and multiply, becoming resistant through natural selection",4.54,48.423,49.3,21,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Passive,8,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,False,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure","The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",4,A moderate amount,No,21,
2026-03-06 00:18:20,2026-03-06 00:24:02,Survey Preview,100,341,True,2026-03-06 00:24:02,R_8Xj93muPEfF9tbc,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Chemistry,Other",Detractor,6,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,0.827,26.271,28.2,7,Promoter,10,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection)",Promoter,10,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)","The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",4,A little,No,,7
2026-03-06 01:40:45,2026-03-06 01:43:36,IP Address,100,171,True,2026-03-06 01:43:37,R_2mwQK8W62mSornE,anonymous,ZH-S,"You are at least 18 years old, and",Computer Science/ Engineer,Detractor,1,The immune system starts fighting against the antibiotic,1.875,6.034,10.539,4,,,,,Passive,7,The patient's body has adapted so the antibiotic no longer has an effect,"Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Passive,7,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",The patient's body has adapted so the antibiotic no longer has an effect,4,A moderate amount,No,4,
2026-03-05 16:18:19,2026-03-06 11:20:50,IP Address,100,68550,True,2026-03-06 11:20:50,R_8Dr5nmCTqzZJNIt,anonymous,ZH-S,You have read and understood this information and consent to participate in this study.,None,Promoter,10,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,0.77,0.77,2.001,1,Promoter,10,The antibiotic has been used so frequently that its chemical composition weakens over time,Bacteria absorb the antibiotic and use it as a nutrient,Promoter,10,"1
",All Bloops are Lazzies,"The insects shared chemical defences with each other, allowing the whole population to neutralise the pesticide",False,Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,The immune system has become dependent on the antibiotic and can no longer fight infections without it,4,A lot,Yes,,1
2026-03-06 11:33:05,2026-03-06 11:37:34,IP Address,100,269,True,2026-03-06 11:37:35,R_2nJjfwfdn8c3sZ5,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer,Other",Detractor,0,"Some bacteria survive and multiply, becoming resistant through natural selection",6.231,82.444,91.67,11,,,,,Detractor,5,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Passive,8,243,All Bloops are Lazzies,"Some insects happened to have pre-existing traits that helped them survive, and those insects reproduced at higher rates",False,Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",3,A lot,Yes,11,
2026-03-06 11:37:47,2026-03-06 11:42:35,IP Address,100,288,True,2026-03-06 11:42:36,R_8XgJQtYqqieBIEd,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Statistics / Econometrics,Detractor,5,Our body builds up a tolerance to the antibiotic over time,,,,,4.372,48.327,53.33,10,Detractor,4,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria absorb the antibiotic and use it as a nutrient",Detractor,2,243,All Bloops are Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,False,"Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",The immune system has become dependent on the antibiotic and can no longer fight infections without it,1,A little,Yes,,10
2026-03-06 11:41:30,2026-03-06 11:47:40,IP Address,100,369,True,2026-03-06 11:47:40,R_8v5Mv8xmKk88zpf,anonymous,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Biology,Chemistry,Statistics / Econometrics",Detractor,3,Our body builds up a tolerance to the antibiotic over time,2.723,62.244,63.177,17,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Detractor,6,243,All Bloops are Lazzies,Repeated exposure to the pesticide caused the insects' genes to mutate into resistant forms,True,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation),Avoid using pesticides when they are not truly needed to reduce selection pressure","The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same",3,A moderate amount,No,17,
